INCIDENT_ID;DATE;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;X_13;X_14;X_15;MULTIPLE_OFFENSE
CR_102659;4-jul-04;0;36;34;2;1;5;6;1;6;1;174;1;92;29;36;0
CR_189752;18-jul-17;1;37;37;0;0;11;17;1;6;1;236;1;103;142;34;1
CR_184637;15-mar-17;0;3;2;3;5;1;0;2;3;1;174;1;110;93;34;1
CR_139071;13-feb-09;0;33;32;2;1;7;1;1;6;1;249;1;72;29;34;1
CR_109335;13-APR-05;0;33;32;2;1;8;3;0;5;1;174;0;112;29;43;1
CR_96263;07-APR-03;0;45;45;10;3;1;0;1;6;1;303;1;72;62;34;1
CR_131400;22-JAN-08;0;30;35;7;3;7;1;0;5;1;174;0;112;29;43;1
CR_11981;14-may-93;0;8;7;7;3;9;8;0;5;1;316;1;72;62;34;1
CR_184134;21-AUG-16;0;49;49;6;5;8;3;1;1;1;316;1;103;14;34;1
CR_32634;25-AUG-96;1;4;4;6;5;15;10;0;5;2;145;1;103;29;34;0
CR_83843;18-sep-02;1;4;4;6;5;15;10;1;6;1;174;1;103;130;34;1
CR_7439;4-mar-92;0;33;32;2;1;5;6;0;5;1;174;0;72;93;48;1
CR_192564;09-JAN-18;0;4;4;6;5;5;6;0;5;3;174;3;42;29;34;1
CR_148567;03-DEC-11;1;4;4;6;5;15;10;0;5;1;174;0;18;133;46;1
CR_106537;23-nov-05;0;7;8;7;3;2;7;3;2;1;316;1;72;62;34;1
CR_38406;7-mar-96;0;36;34;2;1;4;2;1;6;1;249;1;92;29;34;1
CR_131018;24-JAN-08;0;25;25;9;0;4;2;2;6;1;0;1;72;29;34;1
CR_2678;20-AUG-91;0;36;34;2;1;1;0;1;2;1;0;1;92;142;34;1
CR_140183;31-AUG-09;1;37;37;0;0;11;17;0;5;1;174;1;103;115;34;1
CR_11185;15-oct-93;0;3;2;3;5;1;0;1;6;1;249;1;2;29;34;1
CR_6085;8-mar-92;0;21;23;4;1;5;6;1;6;1;174;0;18;53;46;1
CR_124930;21-jun-07;0;36;34;2;1;1;0;0;5;2;174;0;92;93;43;1
CR_64035;11-DEC-99;0;47;48;7;3;4;2;1;6;1;316;1;98;62;34;1
CR_85661;1-mar-02;5;22;22;7;3;13;18;1;6;1;316;1;92;29;34;1
CR_31901;07-APR-95;0;49;49;6;5;5;6;0;5;1;249;1;67;29;34;1
CR_73049;28-may-01;0;4;4;6;5;3;5;0;5;1;174;1;72;80;34;1
CR_148441;11-jul-11;0;4;4;6;5;3;5;0;5;1;0;1;103;142;34;1
CR_99283;3-jul-04;0;15;14;3;5;4;2;0;5;1;174;0;116;133;0;1
CR_152644;16-AUG-11;0;36;34;2;1;1;0;1;2;1;316;1;92;62;34;1
CR_187216;25-jul-17;0;21;23;4;1;4;2;0;5;1;174;0;111;103;43;1
CR_165321;23-AUG-13;1;37;37;0;0;11;17;1;6;1;127;1;103;77;34;1
CR_198473;27-sep-18;0;49;49;6;5;2;7;3;5;2;249;2;72;107;34;1
CR_92787;04-APR-03;7;21;23;4;1;9;8;2;6;3;174;3;112;14;34;1
CR_64799;13-feb-00;0;4;4;6;5;7;1;0;5;1;316;1;72;62;34;1
CR_193653;21-APR-18;0;16;15;0;0;8;3;1;6;1;0;1;12;6;34;1
CR_115118;14-oct-06;5;22;22;7;3;16;12;1;6;2;0;2;34;29;34;1
CR_109887;15-APR-05;0;36;34;2;1;6;4;1;2;1;316;1;92;142;34;1
CR_139996;19-may-09;1;37;37;0;0;11;17;1;1;1;299;1;103;130;34;1
CR_173928;7-may-15;0;11;11;7;3;3;5;2;5;1;316;1;12;62;34;1
CR_104980;14-sep-05;0;4;4;6;5;5;6;2;6;1;174;1;103;29;34;1
CR_70088;5-jul-00;0;36;34;2;1;1;0;1;6;1;249;1;92;93;34;1
CR_8305;12-JAN-92;0;36;34;2;1;4;2;0;2;1;299;1;92;142;34;1
CR_65586;07-APR-00;0;4;4;6;5;4;2;1;6;2;249;2;72;62;34;1
CR_9159;9-may-92;1;36;34;2;1;15;10;0;2;1;316;1;92;130;34;1
CR_31819;7-oct-95;0;48;47;4;1;7;1;1;6;4;158;2;103;62;34;0
CR_16865;29-AUG-93;0;39;39;6;5;4;2;1;6;2;249;2;103;80;34;1
CR_21510;4-may-94;0;33;32;2;1;9;8;1;6;1;249;1;103;29;34;1
CR_156814;21-jul-12;0;21;23;4;1;4;2;1;6;6;12;6;103;80;34;0
CR_27032;19-APR-95;0;16;15;0;0;1;0;2;2;1;316;1;72;142;34;1
CR_136415;21-jun-09;0;5;5;3;5;3;5;1;6;2;249;2;103;29;34;1
